,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH,HARPNUM,NOAA,Class,Peak Time
0,7.500691e+21,109.037,-0.02790043,6764.022,18.464,792.667,63.795,-0.06328551,39.314,116.798,-0.08161224,12956750000000.0,10062480000000.0,9.822828e+22,32.169,203.707352,4.183,305.091,8,11069,M1.2,2010.05.05_01:19_TAI
1,1.298251e+21,136.512,-0.01880895,3776.356,24.726,146.791,72.266,-0.05446064,45.032,139.428,-0.15919766,2976796000000.0,1598694000000.0,1.097319e+22,36.091,48.974152,2.968,41.154,54,11081,M2.0,2010.06.11_08:57_TAI
2,1.567155e+22,92.893,-0.00513582,6783.038,20.659,900.175,39.359,-0.01410212,37.511,93.276,0.0090841,18345530000000.0,1413389000000.0,2.297535e+23,32.256,495.300385,3.7,130.984,115,11093,M1.0,2010.08.07_02:24_TAI
3,1.234376e+22,133.972,0.00227892,3876.387,14.971,1064.386,65.086,0.00684996,37.844,135.31,0.3477973,21573090000000.0,5519578000000.0,9.986117e+22,29.293,697.342102,3.932,44.207,211,11112,M2.9,2010.10.16_03:12_TAI
4,1.478058e+22,82.798,-0.00337184,5060.363,18.653,885.341,43.01,-0.00744652,37.281,92.1,-0.28664395,15595390000000.0,3726033000000.0,1.364036e+23,30.042,376.611511,4.034,68.438,362,11153,M1.9,2011.02.08_09:31_TAI
5,1.037972e+22,117.881,0.02846296,8975.24,46.948,1427.697,86.533,0.06773675,59.557,121.496,-0.00742644,28436180000000.0,20868200000000.0,2.212382e+23,47.586,457.671204,4.336,528.301,377,11158,M6.6,2011.02.13_01:38_TAI
6,2.215716e+22,108.075,0.02234664,15538.57,54.399,2893.002,77.959,0.04228702,59.374,118.008,0.1587076,48683690000000.0,11288790000000.0,6.939647e+23,49.979,935.432739,4.88,751.45,377,11158,M2.2,2011.02.14_01:26_TAI
7,1.496594e+22,107.512,-0.01049058,6072.158,20.86,1309.774,58.459,-0.02322239,40.367,113.952,-0.1227992,23254490000000.0,5013016000000.0,1.692814e+23,33.901,501.074677,4.36,220.208,384,11161,M1.1,2011.02.15_15:44_TAI
8,2.781695e+22,100.534,0.02321131,15232.66,54.344,3300.39,72.014,0.04329663,56.644,112.946,0.2563833,57648980000000.0,28535620000000.0,8.307503e+23,49.223,1104.833496,4.846,953.196,377,11158,M1.6,2011.02.15_22:25_TAI
9,1.364755e+22,115.557,-0.00862032,10235.36,38.288,1118.173,69.266,-0.01718397,49.52,116.439,0.34451735,21839940000000.0,3504063000000.0,2.693183e+23,40.364,709.067505,4.035,170.794,384,11162,M1.0,2011.02.17_18:26_TAI
10,3.463534e+22,98.209,0.0163791,11661.52,36.928,3210.166,61.143,0.02957829,47.059,108.505,-0.00237333,52614670000000.0,27345620000000.0,7.251953e+23,40.604,1105.094727,4.863,766.935,377,11158,M1.4,2011.02.17_21:03_TAI
11,1.531325e+22,110.255,-0.00485321,8304.593,40.234,1287.316,64.882,-0.01176981,51.845,111.304,0.30104342,27752520000000.0,3955279000000.0,2.822287e+23,42.077,764.801636,3.795,124.194,384,11162,M1.0,2011.02.17_22:08_TAI
12,1.81253e+22,118.136,-0.00343105,8746.021,38.992,1795.389,73.27,-0.00810368,52.249,121.157,-0.0291214,36610490000000.0,2285940000000.0,3.442018e+23,42.043,896.986877,4.435,101.672,384,11162,M1.3,2011.02.18_05:04_TAI
13,2.603262e+22,83.233,0.01120331,4903.781,14.698,1664.552,42.109,0.02896126,33.253,87.763,-0.1609953,30484830000000.0,19818230000000.0,2.419175e+23,27.917,616.338806,4.402,416.158,393,11164,M1.1,2011.02.27_20:52_TAI
14,5.706124e+22,91.995,0.00692913,10504.24,31.936,4091.509,51.536,0.01445104,43.237,100.676,0.03903032,76200070000000.0,28518490000000.0,1.12979e+24,37.426,2127.705322,5.012,561.162,393,11164,M1.2,2011.03.06_13:13_TAI
15,3.488161e+22,95.286,-0.00435634,6326.041,22.635,2376.555,52.222,-0.00898083,38.87,105.882,-0.15211426,41701130000000.0,5381319000000.0,3.885752e+23,32.293,1052.364258,4.489,201.485,394,11165,M1.5,2011.03.06_15:54_TAI
16,5.675121e+22,93.679,0.00770913,11034.94,32.04,4279.887,52.847,0.01495036,42.901,102.69,-0.09150223,76942130000000.0,34277160000000.0,1.124045e+24,37.407,2077.890381,5.016,591.267,393,11164,M1.4,2011.03.06_16:07_TAI
17,5.869995e+22,92.046,0.00772972,10789.24,31.646,4354.935,51.484,0.01521141,42.441,100.798,-0.06106112,78428060000000.0,38585750000000.0,1.140268e+24,37.401,2059.630859,4.983,615.124,393,11164,M1.8,2011.03.06_17:20_TAI
18,3.047111e+22,98.118,-0.00243401,14971.18,57.703,3007.771,70.446,-0.00501511,58.882,106.376,0.36732227,59713050000000.0,9186497000000.0,9.597226e+23,50.934,1402.438965,4.829,117.487,401,11166,M1.7,2011.03.08_22:02_TAI
19,3.147343e+22,95.175,-0.00311157,14860.25,55.418,3031.531,66.898,-0.00645706,58.197,103.011,0.26487455,59190220000000.0,6909572000000.0,9.924568e+23,50.381,1451.177734,4.779,156.472,401,11166,X1.5,2011.03.09_07:23_TAI
20,3.903354e+22,91.438,-0.00133758,12753.82,48.571,3250.106,60.218,-0.00290353,53.154,98.907,0.12460832,65079110000000.0,8112704000000.0,1.019408e+24,46.556,1645.863892,4.906,80.501,401,11166,M1.3,2011.03.11_12:43_TAI
21,2.397536e+22,101.348,-0.02034586,9541.221,29.341,1927.967,52.976,-0.04557737,42.273,108.382,0.18332191,35481580000000.0,33244530000000.0,4.448592e+23,36.047,857.11853,4.346,714.241,407,11169,M4.2,2011.03.14_03:52_TAI
22,2.625814e+22,90.262,-0.01741171,8221.285,27.684,2005.226,48.491,-0.04413151,42.179,96.723,0.14379604,40129070000000.0,34581130000000.0,4.518072e+23,36.311,898.990417,4.588,720.497,407,11169,M1.0,2011.03.14_08:22_TAI
23,4.047599e+22,80.773,0.00693385,7778.167,26.328,2257.789,41.836,0.01502749,40.534,87.346,0.09629137,41511340000000.0,8788395000000.0,5.893948e+23,33.352,974.500854,4.446,395.611,437,11176,M1.0,2011.03.23_20:07_TAI
24,2.784911e+22,120.616,-0.00950252,7607.664,32.53,2814.525,69.742,-0.02558165,47.002,127.058,0.34277642,55940220000000.0,18979450000000.0,4.612871e+23,38.666,1595.698608,4.737,433.856,495,11190,M1.3,2011.04.15_01:12_TAI
25,4.697895e+22,94.27,0.00689498,3806.392,13.658,2837.281,44.217,0.01874335,33.803,98.451,0.05162434,55161340000000.0,17647990000000.0,3.472825e+23,27.007,1430.432861,4.451,473.678,514,11195,M1.8,2011.04.21_12:57_TAI
26,5.368125e+22,95.945,0.0072241,4115.297,16.375,3463.239,45.396,0.02056797,35.891,99.979,0.03530971,68293700000000.0,23236610000000.0,4.527779e+23,29.023,1662.067749,4.78,598.481,514,11195,M1.2,2011.04.21_23:53_TAI
27,1.592746e+22,109.035,0.01106724,5747.032,22.52,1427.996,56.704,0.02714103,40.052,115.605,-0.23273906,26098000000000.0,13175580000000.0,1.824352e+23,33.741,502.955658,4.409,264.54,746,11260,M1.1,2011.07.27_00:07_TAI
28,2.314444e+22,100.909,0.0008639,7426.318,31.905,1933.615,56.781,0.00224832,44.621,106.541,0.17616662,40426390000000.0,3448849000000.0,3.558876e+23,38.472,886.235718,4.591,31.174,750,11261,M9.3,2011.07.29_10:09_TAI
29,2.161545e+22,110.441,0.0166702,12805.56,45.147,2826.758,77.324,0.04063273,54.941,116.641,0.34569156,51014660000000.0,26927920000000.0,6.063616e+23,44.996,1347.207764,4.834,594.376,750,11261,M1.4,2011.08.01_14:19_TAI
30,1.946299e+22,107.59,0.03380165,12291.27,44.502,2514.479,73.681,0.08326608,53.947,113.507,0.29317594,42768410000000.0,41209200000000.0,5.291055e+23,44.277,1247.627441,4.775,1095.613,750,11261,M1.1,2011.08.02_11:37_TAI
31,2.626913e+22,82.22,0.02542733,22599.57,64.104,2552.84,62.168,0.04131356,61.708,91.462,0.02806382,46674440000000.0,38680480000000.0,1.152929e+24,54.012,1083.26123,4.747,976.74,753,11263,M1.7,2011.08.02_12:32_TAI
32,3.803648e+22,80.208,0.01697001,10678.39,36.344,2565.516,47.115,0.034929,46.238,86.728,0.01983743,48215760000000.0,39809410000000.0,7.806992e+23,40.92,1133.860352,4.579,934.216,753,11263,M3.5,2011.08.08_02:10_TAI
33,3.529506e+22,76.022,0.01550231,10015.27,33.7,2150.054,43.122,0.03319151,44.85,81.062,0.05639854,38616220000000.0,36664040000000.0,6.793213e+23,38.713,1028.682129,4.592,791.718,753,11263,M2.5,2011.08.08_11:54_TAI
34,3.591983e+22,74.577,0.01684665,10185.39,32.024,2210.121,42.078,0.03481908,43.831,80.984,0.04081957,37964020000000.0,35165660000000.0,6.823387e+23,37.933,1008.711609,4.587,849.796,753,11263,X6.9,2011.08.08_16:05_TAI
35,2.002576e+22,102.773,-0.00270422,4035.097,13.386,1021.923,43.496,-0.00791522,33.717,103.037,-0.02763336,21871550000000.0,1749378000000.0,1.682927e+23,27.74,702.103149,3.867,84.923,814,11286,M3.2,2011.09.03_19:45_TAI
36,1.964637e+22,89.367,-0.00212489,3655.434,10.894,858.765,36.193,-0.00665892,31.727,89.291,-0.07542942,18214440000000.0,3186932000000.0,1.521377e+23,25.522,553.351318,3.908,66.592,814,11286,M1.6,2011.09.04_12:28_TAI
37,1.810805e+22,90.579,-0.00215541,3972.887,11.511,776.72,36.912,-0.00616364,31.789,90.502,-0.14303645,15946780000000.0,2742436000000.0,1.449839e+23,25.329,500.065033,3.902,59.226,814,11286,M1.2,2011.09.04_15:58_TAI
38,1.866048e+22,109.253,0.00115986,7152.778,38.595,1776.687,67.517,0.00389564,51.938,108.614,0.55175143,39841090000000.0,10490340000000.0,3.375639e+23,41.862,1439.668701,4.288,41.217,833,11283,M5.3,2011.09.05_09:50_TAI
